,VER:0,VER:1,VER:2,VER:3,VER:4,VER:5,VER:6,VER:7
demosaic (ms),0.2046355,0.2047205,0.204517,0.203312,0.204488,0.2042185,0.2040835,0.2041795
denoise (ms),1.9779300000000002,1.9720950000000002,1.9716449999999999,1.9722,1.971535,1.9718550000000001,1.9691300000000003,1.97084
isp (ms),18.8589,1.42585,13.7848,18.8561,0.234357,13.8213,1.41739,0.0
lanedetect (ms),1.7864099999999998,1.80755,1.40378,1.8185900000000002,1.4146,1.28817,1.7556599999999998,1.2815299999999998
compress (ms),10.35165,10.4082,8.62767,10.03665,8.547865,8.614944999999999,10.0288,8.577755
decompress (ms),4.28736,4.3055900000000005,3.830255,3.97012,3.56349,3.58039,3.95355,3.5582450000000003
delay_sensing (ms),37.4668855,20.124005500000003,29.822667000000003,36.856972000000006,15.936335,29.480878500000003,19.3286135,15.5925495
control (ms),0.0012900000000000001,0.001275,0.001273,0.001289,0.001289,0.001287,0.001285,0.001276
actuate (ms),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
delay_total (ms),37.968175499999994,20.625280500000002,30.323940000000004,37.358261000000006,16.437624,29.982165500000004,19.8298985,16.0938255
period (ms),40.0,25.0,35.0,40.0,20.0,30.0,20.0,20.0
fps,25.0,40.0,28.0,25.0,50.0,33.0,50.0,50.0
